TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE),
HFBL,"Home Federal Bancorp, Inc. of L",18.55,undefined,1.502,N/A,undefined,1.1421224,, 4.48 Mil ,-41008324,$5.98 ,None,104405000,42271120,32.556,$513.01 ,3267000,1.66741573,1.663820225,18.51,11.125,0.0007,Not Found!,None,14.006
HFFG,HF Foods Group Inc.,6.38,undefined,-6.584,,undefined,1.2796491,1.31, 467.88 Mil ,416526400,$23.90 ,30893274,13425792,-319858240,0.259,$242.20 ,148414720,1.269651741,1.257492537,6.3189,5.025,0.0618,17.44,13.747,-6.121
HFWA,Heritage Financial Corporation,25.88,41.1184,1.658,7,1.588809892,1.1146857,,"-321,611,000.00",25829734,$54.40 ,None,923816000,1255488,25.69,"$6,249.70 ",57463000,1.310379747,1.298227848,25.64,19.75,0.048600003,Not Found!,None,-0.19
HGBL,Heritage Global Inc.,1.96,undefined,0.316,N/A,undefined,2.2607844,-3.49, 56.59 Mil ,74194192,$5.65 ,985750,15852000,-54069672,0.444,$11.81 ,865000,1.324324324,1.317567568,1.95,1.48,0.0001,8.8,20.73,-1.516
HGSH,"China HGS Real Estate, Inc.",1.63,undefined,0.194,N/A,undefined,0.21241415,0.45, 161.85 Mil ,162807552,$0.15 ,-109466800,555576,-37061172,0.025,$197.28 ,116060624,1.63,1.61,1.61,1,0.0069,11.8,69.513,-1.605
HHGCU,,,,Key Error,,,,N/A , - ,,$,,,,,$0.11 ,,,,,,,Not Found!,,0
HGEN,"Humanigen, Inc.",6.36,-115.4832,-3.437,12.5,-18.15773585,20.22082,-7.61, 284.89 Mil ,883981312,($151.02),-53717248,92892000,-285834496,1.572,$78.04 ,24444000,1.11971831,1.084507042,6.16,5.68,0.1983,-1.43,None,-4.788
HHR,HeadHunter Group PLC,54.83,8.973888,0.607,0.74,0.163667481,0.64094603,8.26, 2.86 Bil ,5356161024,$72.70 ,6090333696,5452703744,2631282432,108.026,$240.20 ,8256260096,2.423961096,2.434571176,55.07,22.62,None,36.57,1.005,53.196
HIBB,"Hibbett, Inc.",76.76,109.5232,4.36,7.2,1.426826472,3.20059,6.75, 1.20 Bil ,1269026816,$91 ,68721376,176970000,-1053936368,11.953,$400 ,254308992,2.155574277,2.114293738,75.29,35.61,0.2701,4.85,4.457,-64.807
HIHO,Highway Holdings Limited,3.89,undefined,0.164,N/A,undefined,1.4936367,2.79, 9.70 Mil ,9541750,$0.00 ,None,7487000,-7895858,1.883,$5.49 ,2100000,1.332191781,1.308219178,3.82,2.92,0.0003,-103.14,11.265,-2.007
HIFS,Hingham Institution for Savings,357.7,undefined,29.703,N/A,undefined,2.4742413,, 843.26 Mil ,1009957440,$46.70 ,None,7734000,-754641168,3.61,"$2,645.90 ",286576000,1.825,1.81122449,355,196,0.0118,Not Found!,None,-354.09
HIII,Hudson Executive Investment Cor,9.75,undefined,None,,undefined,None,, 729.68 Mil ,729679104,$,None,829369,-729670599,0.011,$0.00 ,8483,1.015625,1.014583333,9.74,9.6,None,Not Found!,None,-9.739
HIIIU,,9.9,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$,None,829369,,,$0.00 ,8483,,,9.88,9.73,,Not Found!,,-9.9
HIIIW,,,,Key Error,,,,N/A , - ,,$,,,,,$0.00 ,,,,,,,Not Found!,,0
HITI,High Tide Inc.,6.01,undefined,None,,undefined,None,2.69, 333.02 Mil ,380733600,($9.40),13343125,30538000,-259316784,0.615,$69.70 ,55316000,2.003333333,1.966666667,5.9,3,None,1471.48,33.319,-5.395
HLAHW,,,,Key Error,,,,N/A , - ,,$,,,,,$0.10 ,,,,,,,Not Found!,,0
HLAHU,,9.95,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$,None,76126,,,$0.10 ,300000,,,9.95,9.85,,Not Found!,,-9.95
HIVE,,,,Key Error,,,,13.77, 1.10 Bil ,,($59.40),,,,,$52.70 ,,,,,,,14.3,,0
HLAH,Hamilton Lane Alliance Holdings,9.77,undefined,None,,undefined,None,N/A , 317.79 Mil ,299837216,$,None,76126,-317486338,0.002,$0.10 ,300000,1.023036649,1.021989529,9.76,9.55,0.002,Not Found!,None,-9.768
HIMX,"Himax Technologies, Inc.",10.39,95.277456,0.639,84.69,9.170111261,3.2961783,4.72, 1.69 Bil ,2425587456,$241 ,286974880,270411008,-1531410176,1.548,$541 ,159500000,3.011594203,2.960869565,10.215,3.45,None,5.76,8.362,-8.842
HLAL,,38.35,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,,Not Found!,,,,38.1597,28.594,,Not Found!,,-38.35
HLBZ,,11.43,,Unexpected error:<class 'TypeError'>,N/A,,None,, 319.54 Mil ,,$,None,4277000,,,$4.26 ,25979000,,,10.5614,6,,-639.09,,-11.43
HLG,Hailiang Education Group Inc.,30.48,undefined,2.836,N/A,undefined,0.34722605,6.67, 580.65 Mil ,-462413280,$0.00 ,None,1528749056,716738880,58.783,$106.30 ,34885000,1.088182792,1.066761871,29.88,28.01,None,Not Found!,-0.622,28.303
HLBZW,,,,Key Error,,,,, - ,,$,,,,,$4.26 ,,,,,,,-639.09,,0
HLIO,"Helios Technologies, Inc.",87.89,39.32,1.966,4,0.447377404,5.0676837,3.79, 3.26 Bil ,2895069952,$95.70 ,48488500,25924000,-2821967456,0.804,$682.00 ,474416000,2.201653307,2.176748497,86.8958,39.92,0.0149,20.71,21.02,-87.086
HLMN,,,,Key Error,N/A,,,, 2.07 Bil ,,$,,,,,$92.45 ,,,,,,,-4284.35,,0
HLMNW,,,,Key Error,,,,, - ,,$,,,,,$92.45 ,,,,,,,-4284.35,,0
HLIT,Harmonic Inc.,8.73,-6.11568,-0.137,19.4,-0.700536082,3.3631413,-2.19, 953.51 Mil ,890891328,$37.60 ,42586876,100777000,-773625496,0.997,$383.90 ,184991008,1.494863014,1.477739726,8.63,5.84,0.1401,34.15,15.671,-7.733
HLTH,,,,Key Error,,,,, 1.63 Bil ,,$,,,,,$692.64 ,,,,,,,Not Found!,,0
HLXA,Helix Acquisition Corp.,9.95,undefined,None,,undefined,None,N/A , 146.77 Mil ,152505840,$,None,1170066,-150879934,0.079,$0.08 ,0,1.014271152,1.012232416,9.93,9.81,0,Not Found!,None,-9.871
