TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE)
ACMR,"ACM Research, Inc.",108.64,51.47232558139535,1.059,20.00,0.4737879747919307,13.16201,7.60 , 1.94 Bil ,1949443328,$-43.9,-14555000,105799000,-1843544744,5.573,$189.4,47881000,1.7856673241288625,1.6337113740959894,99.395,60.84,0.0709, 69.83 ,77.627
ACT,,23.52,,Unexpected error:<class 'TypeError'>,,,None,, 4.07 Bil ,,$,312278496,447822016,,,"$1,770.90",759702976,,,23.11,19.25,,Not Found!,
ACQRW,,,,Key Error,,,,Not Found!,,,Not Found!,,,,,Not Found!,,,,,,,,
ACTD,ArcLight Clean Transition Corp.,9.77,undefined,None,,undefined,None,, 376.40 Mil ,379232256,$,None,1164577,-334601055,0.03,$37.22,0,1.016649323621228,1.0145681581685744,9.75,9.61,None, -955.34 ,None
ACTDW,,,,Key Error,,,,, - ,,$,,,,,$37.22,,,,,,, -955.34 ,
ACTDU,,10,,Unexpected error:<class 'TypeError'>,,,None,, - ,,$,None,1164577,,,$37.22,0,,,9.95,9.73,, -955.34 ,
ACST,"Acasti Pharma, Inc.",1.77,undefined,0.027,N/A,undefined,10.30303,3.14 , 17.12 Mil ,-13636665,$-13.59,-9350500,57722000,-277222224,2.216,$7.00,66000,1.2291666666666667,1.1527777777777777,1.66,1.44,0.0231, -0.93 ,1.493
ACTG,Acacia Research Corporation,5.41,-36.064651162790696,-0.742,20.00,-6.666294115118428,2.3367262,-0.00 ," -96,229,000.00 ",26265240,$-29.77,-17891250,475737984,204207936,9.654,$467.93,117056000,1.5545977011494254,1.5545977011494254,5.41,3.48,0.0517, 9.9 ,-1.642
ACWI,,,,Key Error,,,,Not Found!,Not Found!,,Not Found!,,,,,Not Found!,,,,,,,Not Found!,
ACRX,"AcelRx Pharmaceuticals, Inc.",0.8631,undefined,-0.357,N/A,undefined,None,-8.21 , 70.05 Mil ,117386136,$-35.81,-19224876,67345000,-35202680,0.565,$115.58,20369000,1.1508,1.1466666666666667,0.86,0.75,0.1338, -2.2 ,-3.618
ACWX,,57.68,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,,Not Found!,,,,57.5129,49.21,,Not Found!,
ACVA,ACV Auctions Inc.,20,undefined,None,0.80,undefined,None,5.17 , 2.43 Bil ,2536968960,$0.0,None,664323968,-2415458944,4.286,$397.0,2204000,1.238390092879257,1.2204334365325078,19.71,16.15,0.0525, -107.08 ,-80.716
ACXP,,5.46,,Unexpected error:<class 'TypeError'>,,,None,N/A , 51.48 Mil ,,$0.00,None,17095596,,,$1.92,0,,,5.2843,3.71,, -9.28 ,
ADALU,,10.08,,Unexpected error:<class 'TypeError'>,,,None,, - ,,$,None,4869,,,$0.73,85000,,,10.07,10.05,,Not Found!,
ADERW,,,,Key Error,,,,N/A , - ,,$,,,,,$0.28,,,,,,,Not Found!,
ADERU,,10.26,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$,None,679925,,,$0.28,0,,,10.27,9.86,,Not Found!,
ADAP,Adaptimmune Therapeutics plc,5.25,-15.05124031007752,-0.929,1.00,-2.866902916205242,2.7501256,1.87 , 591.08 Mil ,305018048,$-128.64,-79465248,317944000,-532624512,2.045,$111.85,22742000,1.5578635014836795,1.5241839762611276,5.1365,3.37,None, -4.11 ,-2.273
ADER,26 Capital Acquisition Corp.,9.9,undefined,None,,undefined,None,, 340.07 Mil ,337226336,$,None,679925,-339288843,0.02,$0.28,0,1.0344827586206897,1.0323928944618601,9.88,9.57,None,Not Found!,None
ADBE,Adobe Inc.,674.08,530.694334883721,11.538,18.47,0.7872868723055438,22.868973,18.74 , 313.84 Bil ,301443776512,"$6,594",5496374784,5768000000,-311012150784,12.107,"$11,730",4693000192,1.6019772802889873,1.5711535719378298,661.11,420.78,0.0101, 49.67 ,52.617
ADES,"Advanced Emissions Solutions, I",6.66,-25.74,-0.258,50.00,-3.8648648648648645,1.3093923,4.46 , 99.80 Mil ,98799408,$41.47,19081500,41335000,-92728320,2.258,$42.21,13083000,1.4478260869565218,1.4760869565217392,6.79,4.6,0.0323, 1.59 ,12.76
ADAG,Adagene Inc.,11.96,undefined,None,N/A,undefined,None,-0.74 , 309.68 Mil ,707409536,$,-12611279,75151000,-434443624,1.727,$173.65,7980965,1.099264705882353,1.0753676470588234,11.7,10.88,None, -7.49 ,-16.726
ADGI,,,,Key Error,,,,, 1.84 Bil ,,$,,,,,$542.62,,,,,,, -22.03 ,
ADI,"Analog Devices, Inc.",180.73,174.35596899224808,4.19,15.90,0.9647317489749797,5.583073,7.47 , 102.65 Bil ,67948748800,"$2,224",2059701120,1480701056,-66449853312,4.021,"$9,377",5330696192,1.3743726235741445,1.3855133079847908,182.195,131.5,0.0233, 35.66 ,23.206
ADMP,Adamis Pharmaceuticals Corporat,1.05,undefined,-0.637,N/A,undefined,28.108107,-12.05 , 154.85 Mil ,157822432,$-21.85,-8622978,6855355,-147986085,0.046,$27.37,6858474,2.763157894736842,2.710526315789474,1.03,0.38,0.074, -3.39 ,-4.687
ADNWW,,,,Key Error,,,,N/A , - ,,$0.00,,,,,$23.71,,,,,,, -13372.3 ,
ADMA,ADMA Biologics Inc,1.41,undefined,-0.775,N/A,undefined,1.487965,-0.78 , 325.23 Mil ,258670608,$-135.09,-90639216,61965708,-112372692,0.483,$121.22,100150160,1.396039603960396,1.316831683168317,1.33,1.01,0.1169, -5.79 ,-5.03
ADN,"Advent Technologies Holdings, I",9.44,undefined,None,N/A,undefined,None,13.40 , 494.78 Mil ,334750912,$0.00,-11274415,116109056,-326726496,2.517,$23.71,182140,1.4390243902439024,1.423780487804878,9.34,6.56,0.1074, -13372.3 ,-33.216
ADILW,,,,Key Error,,,,N/A , - ,,$-10.93,,,,,$3.23,,,,,,, -3.52 ,
ADOC,Edoc Acquisition Corp.,10.19,undefined,None,,undefined,None,N/A , 120.21 Mil ,117902424,$,None,727773,-119318907,0.062,$0.07,0,1.0345177664974619,1.03248730964467,10.17,9.85,0.00029999999,Not Found!,None
ADOCW,,,,Key Error,,,,N/A , - ,,$,,,,,$0.08,,,,,,,Not Found!,
ADMS,"Adamas Pharmaceuticals, Inc.",8.18,247.2008682170543,-1.772,-90.30,30.220155038759696,62.59542,-3.09 , 418.57 Mil ,276247904,$-51.42,-28954876,91370000,-280976400,2.004,$154.68,137359008,2.4345238095238093,2.425595238095238,8.15,3.36,0.060399998, -10.19 ,-7.546
ADIL,"Adial Pharmaceuticals, Inc",3.17,undefined,-0.973,N/A,undefined,9.230769,N/A , 56.41 Mil ,62859284,$-10.93,-4758694,5209845,-49400655,0.257,$3.23,273287,1.98125,1.8499999999999999,2.96,1.6,0.084300004, -3.52 ,-3.928
ADOCR,,0.38,,Unexpected error:<class 'TypeError'>,,,None,Not Found!,,,Not Found!,None,727773,,,Not Found!,0,,,0.3988,0.3988,,,
